onset	duration	circle_duration	stim_type	button_pushed	response_time	stim_file
4.000	.839	.543	13	4	1.619	func/u027.bmp
7.040	.812	.429	14	4	.836	func/u027.bmp
10.214	.883	.489	13	4	1.105	func/u025.bmp
13.321	.866	.466	13	7	1.128	func/u026.bmp
16.394	.929	.441	14	7	.801	func/u026.bmp
19.586	.969	.501	5	7	1.102	func/f028.bmp
22.725	.919	.415	13	4	.930	func/u024.bmp
25.866	.803	.466	14	4	.874	func/u024.bmp
28.906	.826	.469	5	7	.868	func/f031.bmp
31.478	20.000	20.000	999	20000	20.000	func/i999.bmp
52.024	.893	.514	5	7	1.264	func/f024.bmp
55.164	.868	.472	15	7	1.249	func/u025.bmp
58.221	.930	.430	13	4	.887	func/u022.bmp
61.411	.938	.499	17	4	1.522	func/s019.bmp
64.635	.967	.508	18	4	.948	func/s019.bmp
67.943	.875	.573	7	7	1.103	func/f028.bmp
71.016	.978	.425	17	4	1.371	func/s021.bmp
74.290	.853	.532	18	4	1.004	func/s021.bmp
77.330	.849	.406	5	7	.829	func/f018.bmp
80.521	.818	.575	7	7	1.039	func/f031.bmp
83.578	.874	.481	5	7	1.063	func/f027.bmp
86.651	.832	.429	6	7	1.297	func/f027.bmp
89.674	.992	.424	7	4	1.231	func/f024.bmp
92.865	.967	.422	17	7	.762	func/s027.bmp
96.189	.829	.589	18	4	1.560	func/s027.bmp
99.363	.913	.580	15	4	1.139	func/u022.bmp
102.553	.813	.514	5	7	1.009	func/f025.bmp
105.560	.987	.432	17	7	1.221	func/s031.bmp
108.817	.971	.498	18	7	.771	func/s031.bmp
111.540	20.000	20.000	999	20000	20.000	func/i999.bmp
132.036	.818	.462	5	7	.983	func/f020.bmp
135.059	.995	.445	7	7	.794	func/f018.bmp
138.266	.902	.435	13	7	.854	func/u018.bmp
141.440	.831	.505	14	7	.787	func/u018.bmp
144.463	.839	.427	17	4	1.580	func/s018.bmp
147.637	.855	.562	18	4	1.150	func/s018.bmp
150.694	.945	.419	17	7	1.065	func/s029.bmp
153.918	.914	.506	7	7	.958	func/f025.bmp
157.141	.858	.539	13	4	1.005	func/u032.bmp
160.365	.810	.599	14	4	.775	func/u032.bmp
163.506	.840	.560	13	7	1.122	func/u023.bmp
166.696	.850	.571	7	7	1.083	func/f020.bmp
169.854	.841	.551	13	4	1.195	func/u021.bmp
172.943	.964	.474	14	4	.936	func/u021.bmp
176.217	.896	.550	5	7	.978	func/f032.bmp
179.458	.992	.575	5	4	1.327	func/f029.bmp
182.799	.973	.574	19	7	1.002	func/s029.bmp
186.089	.984	.543	13	4	1.170	func/u029.bmp
189.263	.905	.426	17	7	.952	func/s030.bmp
192.537	.838	.600	18	7	1.347	func/s030.bmp
195.711	.949	.561	15	7	1.208	func/u023.bmp
198.400	20.000	20.000	999	20000	20.000	func/i999.bmp
219.013	.989	.583	17	4	1.391	func/s032.bmp
222.221	.968	.451	17	7	1.007	func/s026.bmp
225.377	.802	.429	7	4	1.870	func/f032.bmp
228.350	.863	.411	17	7	1.041	func/s024.bmp
231.457	.885	.431	7	7	.837	func/f029.bmp
234.564	.979	.467	5	7	.838	func/f021.bmp
237.788	.818	.480	6	7	.324	func/f021.bmp
240.878	.918	.516	15	4	.952	func/u029.bmp
244.035	.947	.473	5	4	1.016	func/f022.bmp
247.192	.922	.438	6	4	.903	func/f022.bmp
250.332	.818	.447	17	7	.928	func/s020.bmp
253.406	.956	.497	18	7	.986	func/s020.bmp
256.647	.805	.514	19	7	.816	func/s032.bmp
259.737	.922	.507	5	7	1.026	func/f017.bmp
262.877	.998	.436	6	n/a	0	func/f017.bmp
266.101	.880	.461	19	4	1.094	func/s026.bmp
269.191	.886	.450	17	7	.872	func/s022.bmp
272.332	.946	.497	19	7	.926	func/s024.bmp
275.021	20.000	20.000	999	20000	20.000	func/i999.bmp
295.650	.982	.585	17	7	.896	func/s028.bmp
298.974	.807	.575	18	7	.852	func/s028.bmp
302.115	.840	.563	5	7	.951	func/f030.bmp
305.171	.905	.445	6	7	1.022	func/f030.bmp
308.429	.854	.577	5	7	.992	func/f019.bmp
311.536	.832	.471	6	7	.918	func/f019.bmp
314.542	.989	.407	5	4	1.248	func/f023.bmp
317.716	.820	.405	6	4	1.301	func/f023.bmp
320.790	.953	.481	13	n/a	0	func/u017.bmp
324.030	.998	.521	14	4	1.012	func/u017.bmp
327.337	.841	.538	19	7	.810	func/s022.bmp
330.411	.880	.457	13	4	.859	func/u020.bmp
333.501	.880	.449	13	4	.895	func/u030.bmp
336.625	.876	.481	17	7	.959	func/s025.bmp
339.732	.813	.464	13	7	.881	func/u031.bmp
342.889	.809	.573	14	7	.719	func/u031.bmp
345.996	.807	.524	17	7	.806	func/s017.bmp
349.136	.950	.565	13	4	1.405	func/u028.bmp
352.326	.843	.469	15	4	.907	func/u020.bmp
354.916	20.000	20.000	999	20000	20.000	func/i999.bmp
375.528	.959	.582	13	7	.860	func/u019.bmp
378.769	.928	.502	15	4	.983	func/u030.bmp
381.976	.850	.513	5	7	1.601	func/f026.bmp
384.999	.825	.411	19	7	1.012	func/s025.bmp
388.140	.995	.537	17	7	.793	func/s023.bmp
391.397	.822	.489	18	7	1.040	func/s023.bmp
394.036	.012	0	999	0	0	func/Circle.bmp
