response_time	button_press	stim_file
1826	2	meg/u029.bmp
1640	1	meg/u099.bmp
1742	2	meg/u138.bmp
2191	1	meg/u142.bmp
2453	1	meg/u058.bmp
1905	1	meg/u035.bmp
1484	1	meg/u135.bmp
1673	2	meg/u113.bmp
1421	3	meg/f132.bmp
2020	2	meg/u003.bmp
2795	2	meg/u107.bmp
1248	1	meg/u120.bmp
945	3	meg/f075.bmp
1372	1	meg/u122.bmp
917	3	meg/f086.bmp
754	3	meg/f009.bmp
757	3	meg/f014.bmp
672	3	meg/f040.bmp
3830	2	meg/u094.bmp
1368	1	meg/u046.bmp
1450	1	meg/u074.bmp
976	3	meg/f082.bmp
818	3	meg/f091.bmp
1987	1	meg/u123.bmp
1547	1	meg/u093.bmp
861	3	meg/f123.bmp
2900	2	meg/f063.bmp
909	1	meg/u030.bmp
818	3	meg/f018.bmp
1219	3	meg/f114.bmp
1859	2	meg/u124.bmp
1367	1	meg/f105.bmp
1633	2	meg/u102.bmp
1023	3	meg/f085.bmp
783	3	meg/f041.bmp
786	3	meg/f024.bmp
1531	1	meg/u025.bmp
2710	3	meg/f031.bmp
903	3	meg/f094.bmp
3108	2	meg/u010.bmp
1036	1	meg/u050.bmp
2900	2	meg/f138.bmp
1013	1	meg/u013.bmp
949	3	meg/f150.bmp
1737	3	meg/f101.bmp
2018	2	meg/f149.bmp
1585	1	meg/u130.bmp
897	3	meg/f019.bmp
1127	1	meg/f142.bmp
986	3	meg/f015.bmp
796	3	meg/f032.bmp
1054	3	meg/f102.bmp
764	3	meg/f077.bmp
2191	1	meg/u006.bmp
814	3	meg/f084.bmp
607	3	meg/f067.bmp
3176	2	meg/u103.bmp
1574	1	meg/u127.bmp
870	1	meg/u098.bmp
1228	1	meg/u014.bmp
843	3	meg/f070.bmp
611	3	meg/f100.bmp
2380	2	meg/u089.bmp
1067	1	meg/u034.bmp
1321	3	meg/f130.bmp
1013	1	meg/u117.bmp
1397	1	meg/u016.bmp
1046	1	meg/u082.bmp
749	3	meg/f022.bmp
2393	2	meg/u092.bmp
1639	1	meg/u032.bmp
765	3	meg/f061.bmp
2832	2	meg/u081.bmp
1516	2	meg/u111.bmp
1638	1	meg/u053.bmp
1884	2	meg/f140.bmp
1920	2	meg/u033.bmp
803	3	meg/f047.bmp
996	1	meg/u011.bmp
901	3	meg/f080.bmp
1987	3	meg/f115.bmp
859	3	meg/f003.bmp
690	3	meg/f050.bmp
1040	1	meg/u026.bmp
1079	3	meg/f129.bmp
1565	2	meg/u044.bmp
910	3	meg/f033.bmp
1811	2	meg/u045.bmp
793	3	meg/f029.bmp
1538	1	meg/u037.bmp
2212	2	meg/f119.bmp
1258	3	meg/f021.bmp
1024	1	meg/u125.bmp
824	1	meg/u140.bmp
665	3	meg/f037.bmp
1176	2	meg/u095.bmp
1378	1	meg/u096.bmp
931	3	meg/f060.bmp
727	3	meg/f055.bmp
1123	1	meg/u108.bmp
743	1	meg/u132.bmp
787	3	meg/f109.bmp
845	1	meg/u112.bmp
1468	2	meg/f078.bmp
842	3	meg/f056.bmp
746	3	meg/f034.bmp
1157	1	meg/u084.bmp
2071	1	meg/f020.bmp
