onset	duration	circle_duration	stim_type	button_pushed	response_time	stim_file
4.000	.908	.487	13	7	1.103	func/u009.bmp
7.207	.892	.519	14	7	.792	func/u009.bmp
10.548	.845	.579	5	4	.820	func/f006.bmp
13.739	.854	.570	6	4	.737	func/f006.bmp
16.862	.851	.487	13	7	.946	func/u003.bmp
20.002	.848	.526	14	7	.648	func/u003.bmp
23.109	.885	.492	5	4	.653	func/f014.bmp
26.300	.832	.549	6	4	.643	func/f014.bmp
29.423	.900	.519	17	4	1.044	func/s009.bmp
32.564	.954	.478	18	4	.692	func/s009.bmp
35.270	20.000	20.000	999	20000	20.000	func/i999.bmp
55.732	.843	.418	5	4	.929	func/f013.bmp
58.788	.934	.440	5	4	.719	func/f002.bmp
61.962	.934	.473	13	7	.898	func/u013.bmp
65.136	.855	.469	5	4	.650	func/f009.bmp
68.360	.961	.599	6	4	.660	func/f009.bmp
71.583	.823	.488	17	4	.784	func/s001.bmp
74.623	.805	.448	17	4	1.165	func/s015.bmp
77.647	.866	.449	18	7	.720	func/s015.bmp
80.854	.878	.578	7	4	.891	func/f013.bmp
84.094	.812	.598	13	7	.977	func/u005.bmp
87.101	.968	.431	7	4	.610	func/f002.bmp
90.359	.854	.534	17	7	.901	func/s016.bmp
93.449	.862	.459	15	4	.822	func/u013.bmp
96.489	.892	.411	13	7	.792	func/u001.bmp
99.696	.855	.535	5	7	.715	func/f012.bmp
102.803	.973	.481	19	4	.797	func/s001.bmp
105.993	.985	.442	17	4	.680	func/s002.bmp
109.167	.809	.422	18	4	1.013	func/s002.bmp
111.722	20.000	20.000	999	20000	20.000	func/i999.bmp
132.335	.957	.569	5	7	.947	func/f003.bmp
135.559	.870	.494	15	7	.695	func/u005.bmp
138.732	.892	.541	13	7	.612	func/u012.bmp
141.806	.938	.413	14	7	.639	func/u012.bmp
145.030	.984	.510	19	4	.718	func/s016.bmp
148.237	.897	.466	5	7	.961	func/f010.bmp
151.410	.896	.506	6	7	.682	func/f010.bmp
154.617	.830	.548	15	7	.686	func/u001.bmp
157.758	.946	.540	17	4	.754	func/s014.bmp
160.882	.986	.417	7	7	.659	func/f012.bmp
164.088	.873	.457	17	4	.782	func/s011.bmp
167.179	.980	.449	17	4	.774	func/s007.bmp
170.453	.856	.519	18	4	.722	func/s007.bmp
173.576	.996	.500	7	7	.731	func/f003.bmp
176.900	.870	.560	5	7	.667	func/f001.bmp
179.958	.830	.418	17	4	1.055	func/s004.bmp
182.980	.902	.423	18	4	.601	func/s004.bmp
186.187	.849	.538	17	7	.753	func/s012.bmp
189.344	.826	.537	18	7	.676	func/s012.bmp
192.451	.824	.507	19	4	.667	func/s014.bmp
195.024	20.000	20.000	999	20000	20.000	func/i999.bmp
215.519	.841	.459	13	4	.791	func/u010.bmp
218.626	.973	.498	14	4	.695	func/u010.bmp
221.900	.879	.531	19	4	1.056	func/s011.bmp
225.124	.817	.570	17	4	.781	func/s008.bmp
228.197	.983	.485	5	4	.741	func/f007.bmp
231.471	.863	.519	6	4	.698	func/f007.bmp
234.762	.909	.559	7	7	.646	func/f001.bmp
237.919	.858	.474	17	4	.767	func/s013.bmp
241.042	.959	.489	13	7	.722	func/u015.bmp
244.216	.907	.437	5	4	.713	func/f004.bmp
247.323	.991	.427	5	4	.850	func/f011.bmp
250.614	.935	.528	6	4	.914	func/f011.bmp
253.771	.947	.452	19	4	.779	func/s008.bmp
256.978	.930	.487	17	4	.739	func/s010.bmp
260.202	.962	.534	18	4	.738	func/s010.bmp
263.492	.838	.553	13	7	.804	func/u002.bmp
266.599	.893	.498	14	7	.806	func/u002.bmp
269.739	.953	.475	19	7	.791	func/s013.bmp
272.429	20.000	20.000	999	20000	20.000	func/i999.bmp
292.874	.883	.403	13	7	.741	func/u004.bmp
296.065	.909	.551	15	7	.707	func/u015.bmp
299.255	.864	.511	17	4	.595	func/s005.bmp
302.328	.954	.448	18	4	.587	func/s005.bmp
305.485	.982	.431	7	4	.663	func/f004.bmp
308.709	.858	.469	5	4	.699	func/f008.bmp
311.782	.913	.443	6	4	.702	func/f008.bmp
314.873	.973	.401	13	7	.708	func/u007.bmp
318.030	.986	.407	5	4	.700	func/f005.bmp
321.203	.992	.429	5	7	.799	func/f016.bmp
324.527	.901	.560	6	7	.592	func/f016.bmp
327.601	.909	.410	15	7	.665	func/u004.bmp
330.841	.820	.565	13	7	.614	func/u014.bmp
333.982	.906	.536	13	7	.608	func/u008.bmp
337.206	.941	.551	14	7	.581	func/u008.bmp
340.346	.973	.433	13	7	.646	func/u011.bmp
343.603	.841	.515	15	7	.645	func/u007.bmp
346.677	.893	.467	13	4	.631	func/u016.bmp
349.733	.956	.400	7	4	.721	func/f005.bmp
352.439	20.000	20.000	999	20000	20.000	func/i999.bmp
373.068	.814	.588	17	4	.603	func/s006.bmp
376.175	.840	.520	18	4	.824	func/s006.bmp
379.265	.869	.469	17	4	.733	func/s003.bmp
382.439	.886	.536	15	7	.416	func/u014.bmp
385.579	.915	.486	5	4	.849	func/f015.bmp
388.803	.939	.537	13	4	.891	func/u006.bmp
392.027	.994	.511	14	4	.635	func/u006.bmp
395.284	.803	.486	15	7	1.061	func/u011.bmp
397.890	.012	0	999	0	0	func/Circle.bmp
