response_time	button_press	stim_file
7168	1	MEG/f103.bmp
5453	2	MEG/u052.bmp
7315	2	MEG/u008.bmp
6066	2	MEG/f050.bmp
2765	1	MEG/u032.bmp
5180	1	MEG/u090.bmp
4284	3	MEG/f049.bmp
1386	1	MEG/u095.bmp
3931	1	MEG/u132.bmp
4017	1	MEG/u022.bmp
8045	2	MEG/f071.bmp
3718	2	MEG/f109.bmp
9556	1	MEG/f085.bmp
3060	3	MEG/f012.bmp
4213	1	MEG/f038.bmp
6599	3	MEG/f145.bmp
4268	1	MEG/f057.bmp
2363	2	MEG/f074.bmp
2259	3	MEG/u129.bmp
3630	1	MEG/u019.bmp
1136	1	MEG/u066.bmp
2203	2	MEG/f113.bmp
2522	1	MEG/u056.bmp
2387	1	MEG/u119.bmp
3090	1	MEG/f143.bmp
3731	3	MEG/f137.bmp
2208	1	MEG/f135.bmp
4990	1	MEG/f084.bmp
4575	2	MEG/u094.bmp
3330	1	MEG/f136.bmp
2633	1	MEG/u143.bmp
5053	2	MEG/u042.bmp
2083	1	MEG/u141.bmp
5423	1	MEG/f106.bmp
6406	3	MEG/f055.bmp
3410	1	MEG/u078.bmp
4597	2	MEG/f030.bmp
4479	1	MEG/f051.bmp
2037	1	MEG/u115.bmp
7050	2	MEG/f141.bmp
1964	1	MEG/f148.bmp
2541	1	MEG/u048.bmp
4517	2	MEG/f066.bmp
3929	3	MEG/f111.bmp
1031	1	MEG/u031.bmp
895	1	MEG/f105.bmp
2076	1	MEG/f060.bmp
2015	1	MEG/u137.bmp
1629	1	MEG/u057.bmp
1764	1	MEG/u060.bmp
2869	2	MEG/f131.bmp
991	1	MEG/u044.bmp
968	1	MEG/f059.bmp
2219	1	MEG/u147.bmp
2217	1	MEG/u018.bmp
2423	1	MEG/u002.bmp
4708	1	MEG/f119.bmp
2513	1	MEG/u139.bmp
3866	3	MEG/u108.bmp
1834	1	MEG/f083.bmp
1712	1	MEG/u015.bmp
2162	1	MEG/f062.bmp
3626	1	MEG/f070.bmp
