onset	duration	onset_sample	stim_type	trigger	stim_file
25.915	0	26.465	Famous	5	meg/f101.bmp
29.572	0	30.122	Unfamiliar	13	meg/u013.bmp
33.081	0	33.631	Unfamiliar	14	meg/u013.bmp
36.518	0	37.068	Scrambled	17	meg/s038.bmp
40.027	0	40.577	Scrambled	17	meg/s001.bmp
43.519	0	44.069	Scrambled	18	meg/s001.bmp
47.047	0	47.597	Scrambled	17	meg/s089.bmp
50.465	0	51.015	Scrambled	18	meg/s089.bmp
53.974	0	54.524	Unfamiliar	13	meg/u147.bmp
57.392	0	57.942	Famous	7	meg/f101.bmp
60.829	0	61.379	Scrambled	17	meg/s088.bmp
64.283	0	64.833	Scrambled	17	meg/s098.bmp
67.848	0	68.398	Scrambled	18	meg/s098.bmp
71.395	0	71.945	Scrambled	19	meg/s038.bmp
74.886	0	75.436	Famous	5	meg/f142.bmp
78.469	0	79.019	Scrambled	17	meg/s085.bmp
81.98	0	82.53	Scrambled	18	meg/s085.bmp
85.526	0	86.076	Scrambled	17	meg/s131.bmp
89.201	0	89.751	Unfamiliar	15	meg/u147.bmp
92.766	0	93.316	Famous	5	meg/f052.bmp
96.202	0	96.752	Famous	6	meg/f052.bmp
99.712	0	100.262	Scrambled	19	meg/s088.bmp
103.276	0	103.826	Famous	5	meg/f024.bmp
106.731	0	107.281	Famous	6	meg/f024.bmp
110.314	0	110.864	Scrambled	17	meg/s091.bmp
113.898	0	114.448	Famous	7	meg/f142.bmp
117.334	0	117.884	Unfamiliar	13	meg/u138.bmp
120.862	0	121.412	Scrambled	17	meg/s059.bmp
124.298	0	124.848	Scrambled	19	meg/s131.bmp
127.881	0	128.431	Famous	5	meg/f084.bmp
131.428	0	131.978	Scrambled	17	meg/s147.bmp
134.827	0	135.377	Scrambled	18	meg/s147.bmp
138.282	0	138.832	Scrambled	17	meg/s142.bmp
141.92	0	142.47	Scrambled	18	meg/s142.bmp
145.375	0	145.925	Scrambled	19	meg/s091.bmp
148.922	0	149.472	Scrambled	17	meg/s133.bmp
152.431	0	152.981	Scrambled	18	meg/s133.bmp
156.125	0	156.675	Unfamiliar	15	meg/u138.bmp
159.69	0	160.24	Scrambled	17	meg/s140.bmp
163.034	0	163.584	Scrambled	19	meg/s059.bmp
166.489	0	167.039	Scrambled	17	meg/s008.bmp
170.072	0	170.622	Famous	7	meg/f084.bmp
173.638	0	174.188	Unfamiliar	13	meg/u077.bmp
177.165	0	177.715	Unfamiliar	14	meg/u077.bmp
180.822	0	181.372	Scrambled	17	meg/s107.bmp
184.258	0	184.808	Scrambled	18	meg/s107.bmp
187.86	0	188.41	Unfamiliar	13	meg/u007.bmp
191.425	0	191.975	Scrambled	17	meg/s117.bmp
195.063	0	195.613	Scrambled	19	meg/s140.bmp
198.554	0	199.104	Unfamiliar	13	meg/u019.bmp
202.101	0	202.651	Scrambled	19	meg/s008.bmp
205.574	0	206.124	Famous	5	meg/f043.bmp
209.01	0	209.56	Famous	6	meg/f043.bmp
212.501	0	213.051	Unfamiliar	13	meg/u027.bmp
216.121	0	216.671	Unfamiliar	14	meg/u027.bmp
219.558	0	220.108	Unfamiliar	13	meg/u003.bmp
223.123	0	223.673	Unfamiliar	15	meg/u007.bmp
226.614	0	227.164	Unfamiliar	13	meg/u102.bmp
229.995	0	230.545	Unfamiliar	14	meg/u102.bmp
233.431	0	233.981	Scrambled	19	meg/s117.bmp
236.886	0	237.436	Famous	5	meg/f064.bmp
240.249	0	240.799	Famous	6	meg/f064.bmp
243.814	0	244.364	Unfamiliar	15	meg/u019.bmp
247.323	0	247.873	Scrambled	17	meg/s031.bmp
250.686	0	251.236	Famous	5	meg/f110.bmp
254.214	0	254.764	Famous	5	meg/f012.bmp
257.706	0	258.256	Unfamiliar	15	meg/u003.bmp
261.179	0	261.729	Famous	5	meg/f133.bmp
264.67	0	265.22	Unfamiliar	13	meg/u104.bmp
268.143	0	268.693	Unfamiliar	14	meg/u104.bmp
271.543	0	272.093	Scrambled	17	meg/s019.bmp
275.071	0	275.621	Scrambled	18	meg/s019.bmp
278.342	0	278.892	Scrambled	19	meg/s031.bmp
281.741	0	282.291	Scrambled	17	meg/s030.bmp
285.288	0	285.838	Famous	7	meg/f110.bmp
288.779	0	289.329	Unfamiliar	13	meg/u140.bmp
292.307	0	292.857	Famous	7	meg/f012.bmp
295.78	0	296.33	Unfamiliar	13	meg/u052.bmp
299.143	0	299.693	Famous	7	meg/f133.bmp
302.653	0	303.203	Scrambled	17	meg/s103.bmp
306.107	0	306.657	Unfamiliar	13	meg/u048.bmp
309.525	0	310.075	Unfamiliar	14	meg/u048.bmp
313.035	0	313.585	Famous	5	meg/f132.bmp
316.581	0	317.131	Scrambled	19	meg/s030.bmp
320.109	0	320.659	Unfamiliar	13	meg/u080.bmp
323.711	0	324.261	Unfamiliar	14	meg/u080.bmp
327.184	0	327.734	Unfamiliar	15	meg/u140.bmp
330.786	0	331.336	Unfamiliar	13	meg/u111.bmp
334.296	0	334.846	Unfamiliar	14	meg/u111.bmp
337.787	0	338.337	Unfamiliar	15	meg/u052.bmp
341.26	0	341.81	Unfamiliar	13	meg/u049.bmp
344.789	0	345.339	Unfamiliar	14	meg/u049.bmp
348.298	0	348.848	Scrambled	19	meg/s103.bmp
351.899	0	352.449	Famous	5	meg/f083.bmp
355.207	0	355.757	Scrambled	17	meg/s111.bmp
358.698	0	359.248	Scrambled	18	meg/s111.bmp
362.043	0	362.593	Famous	7	meg/f132.bmp
365.461	0	366.011	Famous	5	meg/f048.bmp
368.897	0	369.447	Famous	6	meg/f048.bmp
372.37	0	372.92	Famous	5	meg/f112.bmp
375.935	0	376.485	Famous	5	meg/f003.bmp
379.592	0	380.142	Scrambled	17	meg/s070.bmp
383.12	0	383.67	Scrambled	18	meg/s070.bmp
386.446	0	386.996	Famous	7	meg/f083.bmp
389.827	0	390.377	Unfamiliar	13	meg/u137.bmp
393.245	0	393.795	Scrambled	17	meg/s130.bmp
396.901	0	397.451	Scrambled	18	meg/s130.bmp
400.301	0	400.851	Unfamiliar	13	meg/u090.bmp
403.664	0	404.214	Famous	7	meg/f112.bmp
407.265	0	407.815	Famous	5	meg/f017.bmp
410.738	0	411.288	Famous	7	meg/f003.bmp
414.358	0	414.908	Unfamiliar	13	meg/u089.bmp
417.831	0	418.381	Unfamiliar	14	meg/u089.bmp
421.194	0	421.744	Unfamiliar	13	meg/u116.bmp
424.796	0	425.346	Unfamiliar	14	meg/u116.bmp
428.232	0	428.782	Unfamiliar	15	meg/u137.bmp
431.76	0	432.31	Unfamiliar	13	meg/u069.bmp
435.196	0	435.746	Famous	5	meg/f120.bmp
438.504	0	439.054	Unfamiliar	15	meg/u090.bmp
441.885	0	442.435	Unfamiliar	13	meg/u012.bmp
445.321	0	445.871	Unfamiliar	14	meg/u012.bmp
448.923	0	449.473	Famous	7	meg/f017.bmp
452.396	0	452.946	Famous	5	meg/f011.bmp
455.851	0	456.401	Famous	6	meg/f011.bmp
459.398	0	459.948	Famous	5	meg/f098.bmp
462.815	0	463.365	Famous	6	meg/f098.bmp
466.215	0	466.765	Unfamiliar	13	meg/u095.bmp
469.743	0	470.293	Unfamiliar	14	meg/u095.bmp
473.234	0	473.784	Unfamiliar	15	meg/u069.bmp
476.725	0	477.275	Unfamiliar	13	meg/u041.bmp
480.125	0	480.675	Famous	7	meg/f120.bmp
483.433	0	483.983	Famous	5	meg/f046.bmp
487.034	0	487.584	Famous	6	meg/f046.bmp
490.507	0	491.057	Scrambled	17	meg/s149.bmp
493.943	0	494.493	Famous	5	meg/f094.bmp
497.472	0	498.022	Unfamiliar	13	meg/u072.bmp
500.981	0	501.531	Famous	5	meg/f092.bmp
504.473	0	505.023	Famous	6	meg/f092.bmp
507.835	0	508.385	Unfamiliar	15	meg/u041.bmp
511.382	0	511.932	Famous	5	meg/f001.bmp
514.91	0	515.46	Famous	6	meg/f001.bmp
518.53	0	519.08	Scrambled	17	meg/s027.bmp
521.966	0	522.516	Scrambled	18	meg/s027.bmp
525.55	0	526.1	Scrambled	19	meg/s149.bmp
528.986	0	529.536	Famous	5	meg/f105.bmp
532.423	0	532.973	Famous	7	meg/f094.bmp
536.042	0	536.592	Famous	5	meg/f088.bmp
539.497	0	540.047	Unfamiliar	15	meg/u072.bmp
