description	name	onlinefilter	samplingrate	status	type
sensor gradiometer	MEG0113	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0112	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0111	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0122	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0123	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0121	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0132	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0133	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0131	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0143	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0142	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0141	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0213	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0212	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0211	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0222	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0223	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0221	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0232	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0233	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0231	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0243	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0242	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0241	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0313	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0312	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0311	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0322	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0323	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0321	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0333	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0332	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0331	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0343	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0342	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0341	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0413	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0412	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0411	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0422	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0423	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0421	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0432	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0433	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0431	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0443	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0442	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0441	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0513	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0512	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0511	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0523	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0522	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0521	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0532	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0533	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0531	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0542	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0543	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0541	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0613	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0612	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0611	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0622	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0623	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0621	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0633	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0632	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0631	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0642	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0643	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0641	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0713	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0712	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0711	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0723	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0722	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0721	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0733	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0732	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0731	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0743	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0742	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0741	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0813	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0812	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0811	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0822	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0823	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0821	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0913	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0912	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0911	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0923	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0922	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0921	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0932	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0933	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0931	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0942	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG0943	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG0941	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1013	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1012	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1011	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1023	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1022	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1021	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1032	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1033	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1031	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1043	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1042	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1041	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1112	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1113	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1111	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1123	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1122	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1121	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1133	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1132	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1131	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1142	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1143	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1141	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1213	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1212	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1211	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1223	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1222	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1221	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1232	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1233	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1231	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1243	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1242	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1241	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1312	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1313	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1311	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1323	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1322	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1321	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1333	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1332	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1331	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1342	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1343	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1341	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1412	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1413	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1411	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1423	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1422	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1421	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1433	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1432	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1431	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1442	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1443	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1441	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1512	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1513	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1511	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1522	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1523	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1521	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1533	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1532	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1531	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1543	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1542	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1541	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1613	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1612	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1611	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1622	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1623	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1621	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1632	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1633	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1631	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1643	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1642	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1641	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1713	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1712	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1711	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1722	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1723	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1721	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1732	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1733	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1731	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1743	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1742	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1741	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1813	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1812	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1811	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1822	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1823	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1821	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1832	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1833	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG1831	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1843	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG1842	0.00-356.40	1100.000000	good	MEG
