name	type	description	samplingrate	lowpass	highpass	notch	softwarefilters	status
MEG0113	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0112	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0111	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0122	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0123	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0121	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0132	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0133	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0131	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0143	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0142	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0141	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0213	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0212	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0211	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0222	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0223	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0221	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0232	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0233	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0231	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0243	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0242	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0241	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0313	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0312	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0311	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0322	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0323	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0321	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0333	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0332	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0331	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0343	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0342	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0341	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0413	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0412	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0411	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0422	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0423	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0421	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0432	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0433	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0431	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0443	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0442	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0441	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0513	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0512	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0511	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0523	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0522	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0521	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0532	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0533	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0531	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0542	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0543	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0541	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0613	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0612	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0611	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0622	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0623	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0621	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0633	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0632	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0631	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0642	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0643	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0641	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0713	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0712	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0711	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0723	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0722	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0721	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0733	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0732	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0731	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0743	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0742	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0741	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0813	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0812	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0811	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0822	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0823	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0821	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0913	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0912	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0911	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG0923	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG0922	MEG	planar gradiometer	1100	350	0	0	tSSS	good
