response_time	button_press	stim_file
1247	1	MEG/u145.bmp
1108	3	MEG/f057.bmp
935	3	MEG/f095.bmp
1146	2	MEG/u084.bmp
954	1	MEG/u005.bmp
1148	1	MEG/u021.bmp
1086	1	MEG/f103.bmp
996	3	MEG/f097.bmp
861	3	MEG/f123.bmp
931	1	MEG/u044.bmp
131457	1	MEG/u026.bmp
882	1	MEG/u028.bmp
711	1	MEG/u122.bmp
1139	3	MEG/f001.bmp
1165	1	MEG/u037.bmp
1111	3	MEG/f113.bmp
1051	3	MEG/f018.bmp
1905	1	MEG/u086.bmp
898	1	MEG/u018.bmp
3511	1	MEG/u081.bmp
781	3	MEG/f071.bmp
728	3	MEG/f028.bmp
836	3	MEG/f037.bmp
700	3	MEG/f029.bmp
1137	2	MEG/u058.bmp
1404	1	MEG/u047.bmp
890	3	MEG/f002.bmp
1246	3	MEG/f147.bmp
828	1	MEG/u133.bmp
1564	2	MEG/u101.bmp
637	3	MEG/f044.bmp
1811	3	MEG/f033.bmp
810	3	MEG/f050.bmp
1010	1	MEG/u074.bmp
1227	3	MEG/f041.bmp
2265	2	MEG/u093.bmp
1180	1	MEG/u027.bmp
1670	2	MEG/f112.bmp
786	3	MEG/f003.bmp
668	3	MEG/f026.bmp
2051	1	MEG/u112.bmp
1608	2	MEG/u049.bmp
983	1	MEG/u061.bmp
737	1	MEG/u079.bmp
1020	3	MEG/f099.bmp
786	3	MEG/f054.bmp
940	1	MEG/u067.bmp
1855	1	MEG/u149.bmp
1179	3	MEG/f058.bmp
876	3	MEG/f094.bmp
4482	3	MEG/f127.bmp
960	1	MEG/u130.bmp
1499	3	MEG/f120.bmp
710	3	MEG/f004.bmp
962	3	MEG/f014.bmp
1628	1	MEG/u073.bmp
691	1	MEG/u117.bmp
2712	1	MEG/u003.bmp
928	1	MEG/u106.bmp
1276	3	MEG/f137.bmp
889	1	MEG/f098.bmp
871	1	MEG/u123.bmp
1043	3	MEG/f038.bmp
1131	3	MEG/f016.bmp
1534	1	MEG/u039.bmp
1040	1	MEG/u062.bmp
952	1	MEG/u019.bmp
986	1	MEG/u085.bmp
3796	2	MEG/u109.bmp
1662	3	MEG/f046.bmp
715	3	MEG/f068.bmp
815	1	MEG/u087.bmp
1511	2	MEG/u014.bmp
1427	3	MEG/f021.bmp
722	3	MEG/f032.bmp
694	3	MEG/f067.bmp
2275	2	MEG/f145.bmp
966	3	MEG/f027.bmp
1544	3	MEG/f144.bmp
970	1	MEG/u096.bmp
1403	3	MEG/f010.bmp
1091	3	MEG/f070.bmp
864	3	MEG/f107.bmp
630	3	MEG/f064.bmp
806	3	MEG/f080.bmp
687	3	MEG/f047.bmp
2109	2	MEG/u102.bmp
2062	1	MEG/u040.bmp
3762	1	MEG/u108.bmp
1051	1	MEG/u034.bmp
2058	1	MEG/u099.bmp
901	1	MEG/u104.bmp
843	1	MEG/u038.bmp
627	1	MEG/u048.bmp
1483	3	MEG/f035.bmp
1800	3	MEG/f092.bmp
711	3	MEG/f008.bmp
1685	1	MEG/u052.bmp
704	1	MEG/u051.bmp
877	1	MEG/u126.bmp
659	1	MEG/u010.bmp
706	1	MEG/u088.bmp
622	1	MEG/u138.bmp
1063	3	MEG/f122.bmp
717	1	MEG/u023.bmp
1026	3	MEG/f131.bmp
674	1	MEG/u143.bmp
592	1	MEG/u069.bmp
674	1	MEG/u008.bmp
823	3	MEG/f019.bmp
687	1	MEG/u031.bmp
612	1	MEG/f148.bmp
1389	3	MEG/f048.bmp
549	1	MEG/u082.bmp
650	1	MEG/u036.bmp
697	3	MEG/f091.bmp
671	1	MEG/u080.bmp
622	1	MEG/u136.bmp
830	3	MEG/f143.bmp
660	3	MEG/f009.bmp
851	3	MEG/f133.bmp
778	3	MEG/f130.bmp
1924	2	MEG/u090.bmp
997	3	MEG/f042.bmp
935	1	MEG/u030.bmp
994	1	MEG/u063.bmp
603	1	MEG/u129.bmp
636	1	MEG/u046.bmp
3091	3	MEG/f140.bmp
1235	1	MEG/u032.bmp
754	3	MEG/f065.bmp
773	3	MEG/f073.bmp
1390	1	MEG/u022.bmp
887	3	MEG/f075.bmp
3636	2	MEG/u115.bmp
1805	3	MEG/f126.bmp
939	3	MEG/f115.bmp
3974	1	MEG/u043.bmp
898	3	MEG/f082.bmp
647	3	MEG/f039.bmp
743	1	MEG/u025.bmp
2091	2	MEG/u064.bmp
886	1	MEG/u071.bmp
1195	1	MEG/u091.bmp
1212	3	MEG/f116.bmp
748	3	MEG/f089.bmp
919	1	MEG/u056.bmp
